site_name,het
Army Pass,0.001226970
Conness Lake,0.000877411
Crabtree Lakes,0.001273542
Donohue Pass,0.001810317
Dusy Pass,0.001600292
Recess Lakes,0.001403947
Hungry Pass,0.001441990
Italy Lake,0.001373185
Kuna Lake,0.001209517
Lamarck Lakes,0.001395969
Lyell Peak,0.001793819
Milly's Footpass,0.001685843
Monarch Lake,0.001404198
North Forester,0.001568598
Ottoway Lake,0.000868609
Pear Lake,0.001279003
Piute Pass,0.001461256
Ritter Range,0.001720076
Ruby Lake,0.001244319
Sam Mack Lake,0.001653567
Selden Pass,0.001378445
South Forester,0.001537676
Sixty Lakes,0.001699564
Sphinx  Lakes,0.001687074
Taboose Pass,0.001261327
Treasure Lake,0.001424086
Wright Lakes,0.001373752
