"","rep","sim","recap","mut","sample","T2","T1","CS","AS","NE","Na","Nc","Ns","mut_rate","POP_SIZE","P_D","DISPERSAL_SIGMA","YEAR_SHAPE"
"1","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_2802_0","3196764404030","229270","2802","0",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,3.11551400570302e-09,137.6197,0.0909,1.2973,1.8404
"2","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_2802_1","3196764404030","229270","2802","1",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,3.65011589043728e-09,137.6197,0.0909,1.2973,1.8404
"3","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_2802_2","3196764404030","229270","2802","2",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,3.65011589043728e-09,137.6197,0.0909,1.2973,1.8404
"4","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_2802_3","3196764404030","229270","2802","3",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,3.65011589043728e-09,137.6197,0.0909,1.2973,1.8404
"5","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_2802_4","3196764404030","229270","2802","4",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,3.65011589043728e-09,137.6197,0.0909,1.2973,1.8404
"6","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_286728_0","3196764404030","229270","286728","0",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,NA,137.6197,0.0909,1.2973,1.8404
"7","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_286728_1","3196764404030","229270","286728","1",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,3.02285047098037e-09,137.6197,0.0909,1.2973,1.8404
"8","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_286728_2","3196764404030","229270","286728","2",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,3.02285047098037e-09,137.6197,0.0909,1.2973,1.8404
"9","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_286728_3","3196764404030","229270","286728","3",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,3.02285047098037e-09,137.6197,0.0909,1.2973,1.8404
"10","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_286728_4","3196764404030","229270","286728","4",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,3.02285047098037e-09,137.6197,0.0909,1.2973,1.8404
"11","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_678142_0","3196764404030","229270","678142","0",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,3.65011589043728e-09,137.6197,0.0909,1.2973,1.8404
"12","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_678142_1","3196764404030","229270","678142","1",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,3.62766483102665e-09,137.6197,0.0909,1.2973,1.8404
"13","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_678142_2","3196764404030","229270","678142","2",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,3.62766483102665e-09,137.6197,0.0909,1.2973,1.8404
"14","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_678142_3","3196764404030","229270","678142","3",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,3.62766483102665e-09,137.6197,0.0909,1.2973,1.8404
"15","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_678142_4","3196764404030","229270","678142","4",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,3.62766483102665e-09,137.6197,0.0909,1.2973,1.8404
"16","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_835606_0","3196764404030","229270","835606","0",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,3.62766483102665e-09,137.6197,0.0909,1.2973,1.8404
"17","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_835606_1","3196764404030","229270","835606","1",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,5.37009284800246e-09,137.6197,0.0909,1.2973,1.8404
"18","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_835606_2","3196764404030","229270","835606","2",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,5.37009284800246e-09,137.6197,0.0909,1.2973,1.8404
"19","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_835606_3","3196764404030","229270","835606","3",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,5.37009284800246e-09,137.6197,0.0909,1.2973,1.8404
"20","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_835606_4","3196764404030","229270","835606","4",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,5.37009284800246e-09,137.6197,0.0909,1.2973,1.8404
"21","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_929729_0","3196764404030","229270","929729","0",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,3.02285047098037e-09,137.6197,0.0909,1.2973,1.8404
"22","post_21000_2022-12-05//run_2022-12-05_000001/sim_3196764404030_stats_mut/stats_229270_929729_1","3196764404030","229270","929729","1",414619.262232729,520790.022491745,0.493620368211795,0.464081917773666,65665.0102726248,7319.57150953131,10955.6824184118,12128.0423440941,3.11551400570302e-09,137.6197,0.0909,1.2973,1.8404
