"POP_SIZE","DISPERSAL_SIGMA","P_D","YEAR_SHAPE","id","run","slope","slope_patches","init_indivs","init_patches","num_gens","num_individuals","num_juveniles","num_patches","num_hops_mean","num_hops_sd","prop_dispersers","distance_mean","distance_sd","children_mean","children_sd"
40,0.2,0.5,1,"run000001","sim_runs/run000001/sim_2860352394133.log",-28.8994371482176,-0.937429643527204,3880,103,40,1948,5384,30,7.27375,14.3701,0,0.0795778,0.131663,4.95993,4.19444
320,0.2,0.5,1,"run000002","sim_runs/run000002/sim_2091682513587.log",102.385178236398,2.37401500938086,31040,126,40,29963,66740,182,7.70152,15.0882,0,0.0812063,0.132242,5.01296,4.24077
40,2,0.5,1,"run000003","sim_runs/run000003/sim_1873090608798.log",201.830300187617,3.72251407129456,3880,117,40,10906,24311,187,6.76424,15.5855,0,0.725092,1.4616,4.70505,4.30587
320,2,0.5,1,"run000004","sim_runs/run000004/sim_3808531460441.log",3974.19146341463,7.77673545966228,31040,531,40,178205,443493,796,7.89674,16.2801,0,0.831033,1.49102,4.99547,4.24245
40,0.2,0.015625,1,"run000005","sim_runs/run000005/sim_4280230706815.log",-69.4085365853659,-1.40065666041276,3880,107,40,935,2173,15,0.117773,1.85574,0,0.000995945,0.0135059,4.87767,3.90759
320,0.2,0.015625,1,"run000006","sim_runs/run000006/sim_2622511251822.log",-98.4056285178237,-0.0881801125703559,31040,130,40,19847,62375,96,0.234808,3.02967,0,0.00251099,0.0281888,4.98521,4.23943
40,2,0.015625,1,"run000007","sim_runs/run000007/sim_3877381905199.log",-26.6791744840525,-0.913789868667917,3880,107,40,2728,8163,38,0.502384,4.57215,0,0.0589707,0.476564,4.87053,4.36713
320,2,0.015625,1,"run000008","sim_runs/run000008/sim_2364013174837.log",3682.62101313321,23.2163227016885,31040,530,40,149364,387503,1096,0.179335,2.70248,0,0.0198788,0.273473,5.0158,4.23151
40,0.2,0.5,2,"run000009","sim_runs/run000009/sim_1867650586490.log",-33.5212945590994,-0.836303939962476,3880,104,40,924,2115,18,7.67714,13.711,0,0.0833515,0.12493,4.75816,4.22255
320,0.2,0.5,2,"run000010","sim_runs/run000010/sim_1912270768075.log",140.512851782364,2.67936210131332,31040,143,40,21613,51043,213,8.10568,15.3171,0,0.0858141,0.139107,4.92076,4.16982
40,2,0.5,2,"run000011","sim_runs/run000011/sim_1895661087510.log",101.6,2.05196998123827,3880,122,40,6828,16026,117,8.67643,17.5656,0,0.92867,1.62382,4.60253,4.26084
320,2,0.5,2,"run000012","sim_runs/run000012/sim_3896342033602.log",3121.50168855535,5.7328330206379,31040,570,40,149370,368666,670,8.66824,16.9093,0,0.909978,1.53282,4.97673,4.23028
40,0.2,0.015625,2,"run000013","sim_runs/run000013/sim_4179289978961.log",-34.1364915572233,-0.928142589118198,3880,108,40,590,987,14,0.256367,3.21145,0,0.00186559,0.0212938,4.41611,4.31251
320,0.2,0.015625,2,"run000014","sim_runs/run000014/sim_2092182994551.log",-95.096904315197,-0.0669793621013131,31040,119,40,10876,21510,92,0.203218,2.70156,0,0.00230921,0.0278263,4.93179,4.20382
40,2,0.015625,2,"run000015","sim_runs/run000015/sim_1673471010295.log",-25.7181988742964,-0.722138836772983,3880,113,40,1340,3700,32,0.259895,2.88255,0,0.0312595,0.325997,4.96978,4.15878
320,2,0.015625,2,"run000016","sim_runs/run000016/sim_1924390829023.log",1722.87889305816,19.9209193245779,31040,536,40,79065,196270,942,0.208995,2.99123,0,0.0233777,0.30122,4.99949,4.21623
92.2551042027771,1.59018863905221,0.233495566135389,1.116705003893,"run000017","sim_runs/run000017/sim_2364183174906.log",836.627016885554,7.65759849906191,8949,267,40,38895,90413,432,2.79346,10.6653,0,0.238751,0.819671,4.90163,4.26454
93.4330532886088,1.69355086800642,0.0241133675044694,1.78757845773362,"run000018","sim_runs/run000018/sim_3036633248132.log",192.915103189493,1.52016885553471,9064,282,40,11557,33418,161,0.44981,4.69878,0,0.0415164,0.390442,4.90647,4.18358
91.5317907650024,1.45315149761736,0.245774397055357,1.80047250702046,"run000019","sim_runs/run000019/sim_2712371675148.log",567.668198874296,6.27711069418386,8879,257,40,27143,68189,354,3.69479,12.2184,0,0.287526,0.857039,4.96462,4.34231
225.399589175358,0.413895202055574,0.0450420993984153,1.94142678333446,"run000020","sim_runs/run000020/sim_4221430282774.log",85.9893058161352,0.684333958724203,21864,168,40,17869,38133,126,0.457858,4.36994,0,0.0104501,0.0884675,5.00729,4.21507
220.023990571499,1.38662358280271,0.445862906828552,1.82125873328187,"run000021","sim_runs/run000021/sim_2375139797617.log",1794.7330206379,6.18949343339587,21343,365,40,91547,222292,524,7.09922,15.5758,0,0.52324,1.01048,4.97047,4.24637
252.099674381316,0.832314707990736,0.310858451513923,1.96160705131479,"run000022","sim_runs/run000022/sim_2577530407274.log",1802.78686679174,12.1338649155722,24454,260,40,78706,200778,621,4.41037,12.7845,0,0.194907,0.507214,5.00887,4.23677
132.776336707175,1.07280190270394,0.101703168227687,1.66383069846779,"run000023","sim_runs/run000023/sim_4163599898426.log",843.401125703565,8.41763602251407,12880,244,40,38289,87961,417,1.09413,6.85612,0,0.0626153,0.355546,5.01031,4.21737
